Point,Lat,Lon,Weight
149447,21.339035,-157.887421,0.0028
149448,21.356194,-157.886932,0.0034
149449,21.373344,-157.886459,0.0013
149450,21.390503,-157.885971,0.0005
149458,21.527817,-157.882065,0.0015
149459,21.544983,-157.881576,0.0013
149460,21.562172,-157.881088,0.0001
149461,21.579338,-157.8806,0.0005
149963,21.28714,-157.870483,0.0002
149964,21.304276,-157.869995,0.0023
149965,21.321434,-157.869507,0.0045
149966,21.33857,-157.869019,0.0035
149967,21.355736,-157.868515,0.0013
149968,21.372887,-157.868027,0.0005
149970,21.407204,-157.86705,0.0002
149972,21.441521,-157.866074,0.0001
149973,21.458687,-157.86557,0.0004
149974,21.475853,-157.865082,0.0017
149975,21.493019,-157.864594,0.0031
149976,21.510185,-157.864105,0.0005
149977,21.527359,-157.863602,0.0005
150482,21.286667,-157.852081,0.0002
150483,21.303825,-157.851593,0.0037
150484,21.320969,-157.85109,0.0037
150485,21.33812,-157.850601,0.0012
150486,21.35527,-157.850098,0.0005
150487,21.372429,-157.849609,0.0002
150489,21.406746,-157.848618,0.0001
150491,21.441055,-157.847626,0.0013
150492,21.458229,-157.847138,0.0031
150493,21.475395,-157.846634,0.0013
150494,21.492554,-157.846146,0.0009
150495,21.509727,-157.845642,0.0012
150496,21.526894,-157.845138,0.0005
150497,21.544067,-157.84465,0.0001
151000,21.269073,-157.834183,0.0001
151001,21.286209,-157.833679,0.001
151002,21.303352,-157.833176,0.0037
151003,21.320503,-157.832687,0.001
151004,21.337654,-157.832184,0.0014
151005,21.354805,-157.83168,0.0002
151006,21.371963,-157.831192,0.0007
151008,21.406265,-157.830185,0.0002
151009,21.423439,-157.829681,0.0008
151010,21.440598,-157.829193,0.0033
151011,21.457756,-157.82869,0.0012
151014,21.50927,-157.827194,0.0001
151015,21.526428,-157.826691,0.0001
151518,21.251457,-157.816284,0.0003
151519,21.2686,-157.815781,0.0023
151520,21.285751,-157.815277,0.0032
151521,21.302887,-157.814774,0.0027
151522,21.320038,-157.81427,0.0009
151524,21.35434,-157.813263,0.0017
151526,21.388657,-157.812256,0.0018
151527,21.405815,-157.811752,0.0031
151528,21.422966,-157.811249,0.004
151529,21.440132,-157.810745,0.0013
151530,21.457291,-157.810242,0.0004
152038,21.250992,-157.797897,0.0006
152039,21.268127,-157.797394,0.0039
152040,21.285278,-157.796875,0.0034
152041,21.302429,-157.796371,0.0008
152042,21.319572,-157.795868,0.001
152043,21.336723,-157.795364,0.0002
152044,21.353874,-157.794846,0.0004
